,Unnamed: 0,ticker,option_symbol,expiry,strike,type,is_itm,entry_range,ask,model_prob,tp_target,sl_target,impliedVolatility,kelly_fraction,expected_profit,run_timestamp,iv,volatility_regime
1209,1209,QQQ,QQQ260206C00595000,2026-02-06,595.0,call,True,$30.62 - $31.40,31.4,0.435,32.805057257993376,0.0,0.262153374633789,0.5363892166942865,8.443894413530156,2026-01-18 23:17:06.745635,,
1210,1210,QQQ,QQQ260206C00598000,2026-02-06,598.0,call,True,$28.05 - $28.91,28.91,0.42,30.047494282188644,0.0,0.2560499200439453,0.5175648047669501,8.325072866324442,2026-01-18 23:17:06.745635,,
1211,1211,QQQ,QQQ260206C00600000,2026-02-06,600.0,call,True,$26.39 - $27.24,27.24,0.415,28.21613483823516,0.0,0.2511061218261718,0.5074012388769014,8.287424844323969,2026-01-18 23:17:06.745635,,
1212,1212,QQQ,QQQ260206C00605000,2026-02-06,605.0,call,True,$22.39 - $23.11,23.11,0.405,23.704572283781992,0.0,0.2375869699096679,0.4775608390022339,8.527951103283083,2026-01-18 23:17:06.745635,,
1213,1213,QQQ,QQQ260206C00610000,2026-02-06,610.0,call,True,$18.56 - $19.28,19.28,0.375,19.424319236521097,0.0,0.2263566134643554,0.450106838677036,8.174730429672817,2026-01-18 23:17:06.745635,,
1434,1434,QQQ,QQQ-SPOT,,621.260009765625,spot_long,True,$621.26,621.260009765625,0.64,718.5579116442923,572.671227877572,,0.0047637911627828,488.95711007887377,2026-01-18 23:17:06.918018,,Normal
1436,1436,EEM,EEM260123C00055000,2026-01-23,55.0,call,True,$2.62 - $2.97,2.97,0.715,3.593008596474212,0.8809740694963012,0.304694453125,0.2799052065222537,0.0774217532584081,2026-01-18 23:17:15.428664,,
1437,1437,EEM,EEM260123C00057000,2026-01-23,57.0,call,True,$1.02 - $1.09,1.09,0.565,1.59934876147719,0.0130652941099764,0.186531572265625,0.0808449287673494,0.0130448574235129,2026-01-18 23:17:15.428664,,
1445,1445,EEM,EEM260123P00058000,2026-01-23,58.0,put,True,$0.51 - $0.57,0.57,0.61,2.3627664845488856,0.0862963416683635,0.1694418994140625,0.4138645922235918,0.0772985841396229,2026-01-18 23:17:15.428664,,
1446,1446,EEM,EEM260130C00053500,2026-01-30,53.5,call,True,$4.30 - $4.60,4.6,0.73,5.738723921629875,1.8698900863250096,0.35938140625,0.0709043117424379,0.0341181696151012,2026-01-18 23:17:15.428664,,
1448,1448,EEM,EEM260130C00054500,2026-01-30,54.5,call,True,$3.45 - $3.55,3.55,0.715,4.734744971603556,1.0022707751877564,0.2753978710937499,0.3159921448585429,0.1625145538986238,2026-01-18 23:17:15.428664,,
